Time,X-Position Left Eye,Y-Position Left Eye,Events in the trial,X-Position Rigth Eye,Y-Position Rigth Eye,Saccades,Pupilsize,Blinks
748,956.5,929.200012207031,0,997.5,920.099975585938,0,1236,0
749,956.099975585938,929.599975585938,0,997.299987792969,920.599975585938,0,1236,0
750,955.700012207031,929.599975585938,0,997.200012207031,921,0,1238,0
751,955.200012207031,929.700012207031,0,997.099975585938,920.799987792969,0,1239,0
752,954.700012207031,929.700012207031,0,996.900024414062,920.5,0,1237,0
753,954.099975585938,929.599975585938,0,996.5,920.299987792969,0,1236,0
754,953.700012207031,929.299987792969,0,996,920.099975585938,0,1234,0
755,953.700012207031,929.099975585938,0,996.400024414062,920,0,1234,0
756,953.700012207031,928.900024414062,0,997.200012207031,919.900024414062,0,1234,0
757,953.599975585938,928.900024414062,0,998,919.900024414062,0,1234,0
758,953.5,929.099975585938,0,998.400024414062,919.900024414062,0,1233,0
759,954,929.299987792969,0,998.400024414062,919.900024414062,0,1233,0
760,954.700012207031,929.299987792969,0,998,919.900024414062,0,1233,0
761,955.299987792969,928.299987792969,0,997.599975585938,919.799987792969,0,1232,0
762,955.200012207031,927.400024414062,0,997.400024414062,919.700012207031,0,1231,0
763,954.700012207031,927.5,0,997.599975585938,919.799987792969,0,1230,0
764,954.099975585938,928.599975585938,0,997.900024414062,920.099975585938,0,1230,0
765,953.5,928.900024414062,0,997.900024414062,920.400024414062,0,1232,0
766,953.099975585938,928.099975585938,0,997.799987792969,920.5,0,1232,0
767,953,927.400024414062,0,997.700012207031,920.5,0,1232,0
768,953.400024414062,927.5,0,997.599975585938,920.599975585938,0,1232,0
769,953.900024414062,927.700012207031,0,997.599975585938,920.599975585938,0,1232,0
770,954,928,0,997.400024414062,920.599975585938,0,1232,0
771,953.400024414062,928.599975585938,0,997.299987792969,920.700012207031,0,1231,0
772,953.400024414062,929.099975585938,0,997.799987792969,920.700012207031,0,1231,0
773,954,929.400024414062,0,998.400024414062,920.700012207031,0,1231,0
774,954.5,929.400024414062,0,999,920.299987792969,0,1232,0
775,954,929.099975585938,0,999.099975585938,919.900024414062,0,1232,0
776,953.5,928.799987792969,0,999.200012207031,919.5,0,1234,0
777,953.5,928.599975585938,0,998.200012207031,919.599975585938,0,1235,0
778,954,928.900024414062,0,997.200012207031,919.799987792969,0,1236,0
779,954.5,929.200012207031,0,996.900024414062,920,0,1235,0
780,954.700012207031,929.5,0,997.900024414062,920.200012207031,0,1232,0
781,954.900024414062,929.599975585938,0,998.799987792969,920.200012207031,0,1229,0
782,954.400024414062,929.200012207031,0,999,920.200012207031,0,1227,0
783,953.599975585938,928.900024414062,0,998.799987792969,920.099975585938,0,1227,0
784,953.599975585938,928.900024414062,0,998.5,919.299987792969,0,1228,0
785,954.200012207031,929.299987792969,0,997.900024414062,918.599975585938,0,1230,0
786,954.799987792969,929.400024414062,0,997.5,918.700012207031,0,1231,0
787,954.799987792969,929.5,0,997.299987792969,919.200012207031,0,1232,0
788,954.900024414062,929.700012207031,0,997.5,919.799987792969,0,1232,0
